"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"640";"PV20  ";"1995KW01";"42.8";;;"1000";;;"66476";"66"
"641";"PV20  ";"1995KW02";"42.8";"0.1";;"1224";"22.4";;"66552";"81"
"642";"PV20  ";"1995KW03";"44";"2.8";;"1487";"21.5";;"70076";"104"
"643";"PV20  ";"1995KW04";"44.4";"0.9";;"1801";"21.1";;"67849";"122"
"644";"PV20  ";"1995JJ00";"43.5";;;"5512";;;"67913";"374"
"645";"PV20  ";"1996KW01";"45.7";"2.8";"6.8";"1355";"-24.8";"35.5";"69162";"94"
"646";"PV20  ";"1996KW02";"47.1";"3";"9.9";"1652";"21.9";"35";"71210";"118"
"647";"PV20  ";"1996KW03";"48.2";"2.3";"9.4";"1780";"7.7";"19.7";"74126";"132"
"648";"PV20  ";"1996KW04";"49.1";"1.9";"10.5";"1934";"8.7";"7.4";"74476";"144"
"649";"PV20  ";"1996JJ00";"47.5";"9.2";"9.2";"6721";"21.9";"21.9";"72509";"487"
"650";"PV20  ";"1997KW01";"50";"1.8";"9.4";"1315";"-32";"-3";"75620";"99"
"651";"PV20  ";"1997KW02";"50.7";"1.5";"7.8";"1891";"43.8";"14.5";"79193";"150"
"652";"PV20  ";"1997KW03";"52.2";"2.9";"8.4";"1767";"-6.6";"-0.7";"80506";"142"
"653";"PV20  ";"1997KW04";"52.8";"1.1";"7.5";"1807";"2.3";"-6.6";"80900";"146"
"654";"PV20  ";"1997JJ00";"51.4";"8.2";"8.2";"6780";"0.9";"0.9";"79297";"538"
"655";"PV20  ";"1998KW01";"53.7";"1.7";"7.4";"1300";"-28.1";"-1.1";"79832";"104"
"656";"PV20  ";"1998KW02";"54.1";"0.9";"6.7";"1741";"33.9";"-7.9";"81650";"142"
"657";"PV20  ";"1998KW03";"55.8";"3";"6.9";"1878";"7.9";"6.3";"88440";"166"
"658";"PV20  ";"1998KW04";"57.4";"2.9";"8.8";"2052";"9.3";"13.6";"86471";"177"
"659";"PV20  ";"1998JJ00";"55.2";"7.5";"7.5";"6971";"2.8";"2.8";"84559";"589"
"660";"PV20  ";"1999KW01";"57.7";"0.6";"7.6";"1582";"-22.9";"21.7";"89943";"142"
"661";"PV20  ";"1999KW02";"60.2";"4.3";"11.2";"1918";"21.2";"10.2";"93023";"178"
"662";"PV20  ";"1999KW03";"62.7";"4.1";"12.4";"2268";"18.2";"20.8";"98747";"224"
"663";"PV20  ";"1999KW04";"64.5";"3";"12.4";"2175";"-4.1";"6";"100441";"218"
"664";"PV20  ";"1999JJ00";"61.3";"10.9";"10.9";"7943";"13.9";"13.9";"96075";"763"
"665";"PV20  ";"2000KW01";"66.6";"3.2";"15.3";"1482";"-31.9";"-6.3";"105255";"156"
"666";"PV20  ";"2000KW02";"69.6";"4.5";"15.5";"1674";"13";"-12.7";"108299";"181"
"667";"PV20  ";"2000KW03";"73.3";"5.3";"16.9";"1839";"9.9";"-18.9";"115044";"212"
"668";"PV20  ";"2000KW04";"75.3";"2.7";"16.6";"1876";"2";"-13.7";"116797";"219"
"669";"PV20  ";"2000JJ00";"71.2";"16.1";"16.1";"6871";"-13.5";"-13.5";"111768";"768"
"670";"PV20  ";"2001KW01";"77.2";"2.6";"15.9";"1341";"-28.5";"-9.5";"119178";"160"
"671";"PV20  ";"2001KW02";"79.7";"3.3";"14.6";"1687";"25.8";"0.8";"125327";"211"
"672";"PV20  ";"2001KW03";"84.2";"5.6";"15";"1998";"18.4";"8.6";"132616";"265"
"673";"PV20  ";"2001KW04";"85";"0.9";"12.9";"1824";"-8.7";"-2.8";"136490";"249"
"674";"PV20  ";"2001JJ00";"81.5";"14.6";"14.6";"6850";"-0.3";"-0.3";"129222";"885"
"675";"PV20  ";"2002KW01";"87.3";"2.7";"13.1";"1453";"-20.3";"8.4";"135510";"197"
"676";"PV20  ";"2002KW02";"89";"2";"11.7";"1752";"20.6";"3.9";"138403";"242"
"677";"PV20  ";"2002KW03";"91.3";"2.5";"8.3";"1875";"7";"-6.2";"146470";"275"
"678";"PV20  ";"2002KW04";"91.1";"-0.2";"7.2";"1821";"-2.9";"-0.2";"143886";"262"
"679";"PV20  ";"2002JJ00";"89.7";"10";"10";"6901";"0.7";"0.7";"141432";"976"
"680";"PV20  ";"2003KW01";"93.4";"2.5";"7";"1318";"-27.6";"-9.3";"144162";"190"
"681";"PV20  ";"2003KW02";"94.6";"1.3";"6.3";"1667";"26.5";"-4.9";"147774";"246"
"682";"PV20  ";"2003KW03";"96.4";"1.9";"5.7";"1760";"5.6";"-6.1";"149559";"263"
"683";"PV20  ";"2003KW04";"96.5";"0.1";"6";"1958";"11.3";"7.5";"149920";"294"
"684";"PV20  ";"2003JJ00";"95.2";"6.2";"6.2";"6703";"-2.9";"-2.9";"148159";"993"
"685";"PV20  ";"2004KW01";"98.4";"1.9";"5.4";"1330";"-32.1";"0.9";"148888";"198"
"686";"PV20  ";"2004KW02";"99.3";"1";"5";"1607";"20.8";"-3.6";"156129";"251"
"687";"PV20  ";"2004KW03";"102.3";"3";"6.1";"1816";"13";"3.2";"159717";"290"
"688";"PV20  ";"2004KW04";"102.1";"-0.2";"5.8";"1915";"5.5";"-2.2";"154229";"295"
"689";"PV20  ";"2004JJ00";"100.5";"5.6";"5.6";"6668";"-0.5";"-0.5";"155116";"1034"
"690";"PV20  ";"2005KW01";"105";"2.9";"6.7";"1299";"-32.2";"-2.3";"162624";"211"
"691";"PV20  ";"2005KW02";"107";"1.9";"7.7";"1645";"26.6";"2.4";"167051";"275"
"692";"PV20  ";"2005KW03";"109.4";"2.3";"7";"1997";"21.4";"10";"170018";"340"
"693";"PV20  ";"2005KW04";"110.7";"1.2";"8.4";"1896";"-5.1";"-1";"170671";"324"
"694";"PV20  ";"2005JJ00";"108";"7.5";"7.5";"6837";"2.5";"2.5";"168081";"1149"
"695";"PV20  ";"2006KW01";"112";"1.2";"6.6";"1550";"-18.2";"19.3";"169946";"263"
"696";"PV20  ";"2006KW02";"114.4";"2.1";"6.9";"1743";"12.5";"6";"172733";"301"
"697";"PV20  ";"2006KW03";"115.4";"0.9";"5.5";"1824";"4.6";"-8.7";"184728";"337"
"698";"PV20  ";"2006KW04";"115.8";"0.4";"4.6";"1935";"6.1";"2.1";"182790";"354"
"699";"PV20  ";"2006JJ00";"114.4";"5.9";"5.9";"7052";"3.1";"3.1";"177983";"1255"
"700";"PV20  ";"2007KW01";"117.4";"1.4";"4.8";"1507";"-22.1";"-2.8";"183867";"277"
"701";"PV20  ";"2007KW02";"117";"-0.3";"2.3";"1757";"16.6";"0.8";"185893";"327"
"702";"PV20  ";"2007KW03";"119.1";"1.8";"3.2";"1778";"1.2";"-2.5";"187338";"333"
"703";"PV20  ";"2007KW04";"119.1";"0";"2.8";"1808";"1.7";"-6.6";"190110";"344"
"704";"PV20  ";"2007JJ00";"118.1";"3.3";"3.3";"6850";"-2.9";"-2.9";"186935";"1281"
"705";"PV20  ";"2008KW01";"120.2";"0.9";"2.4";"1332";"-26.3";"-11.6";"188678";"251"
"706";"PV20  ";"2008KW02";"119.9";"-0.3";"2.5";"1529";"14.8";"-13";"186068";"284"
"707";"PV20  ";"2008KW03";"121.2";"1.1";"1.8";"1654";"8.2";"-7";"185925";"308"
"708";"PV20  ";"2008KW04";"120.9";"-0.2";"1.5";"1478";"-10.6";"-18.3";"191961";"284"
"709";"PV20  ";"2008JJ00";"120.5";"2";"2";"5993";"-12.5";"-12.5";"188062";"1127"
"710";"PV20  ";"2009KW01";"117.3";"-3";"-2.4";"912";"-38.3";"-31.5";"186939";"170"
"711";"PV20  ";"2009KW02";"115.2";"-1.7";"-3.9";"1074";"17.8";"-29.8";"175144";"188"
"712";"PV20  ";"2009KW03";"116";"0.7";"-4.2";"1140";"6.1";"-31.1";"177097";"202"
"713";"PV20  ";"2009KW04";"114.3";"-1.5";"-5.5";"1277";"12";"-13.6";"186403";"238"
