"ID";"RegioS";"Perioden";"WoningvoorraadBeginPeriode_1";"WoningvoorraadToevoegingTotaal_2";"WoningvoorraadToevoegingDoorNieuwbouw_3";"WoningvoorraadToevoegingAnderszins_4";"WoningvoorraadSaldoVermeerdering_14";"WoningvoorraadAdministratieveCorrectie_15";"WoningvoorraadEindePeriode_16"
"425";"PV20  ";"1995KW01";"234239";"400";"350";"50";"259";"0";"234498"
"426";"PV20  ";"1995KW02";"234498";"648";"624";"24";"500";"0";"234998"
"427";"PV20  ";"1995KW03";"234998";"643";"581";"62";"410";"0";"235408"
"428";"PV20  ";"1995KW04";"235408";"1504";"1406";"98";"1127";"-8";"236527"
"429";"PV20  ";"1995JJ00";"234239";"3195";"2961";"234";"2296";"-8";"236527"
"430";"PV20  ";"1996KW01";"236527";"227";"190";"37";"105";"0";"236632"
"431";"PV20  ";"1996KW02";"236632";"752";"667";"85";"475";"0";"237107"
"432";"PV20  ";"1996KW03";"237107";"957";"936";"21";"750";"0";"237857"
"433";"PV20  ";"1996KW04";"237857";"1198";"1111";"87";"901";"-72";"238686"
"434";"PV20  ";"1996JJ00";"236527";"3134";"2904";"230";"2231";"-72";"238686"
"435";"PV20  ";"1997KW01";"238686";"697";"677";"20";"604";"0";"239290"
"436";"PV20  ";"1997KW02";"239290";"775";"731";"44";"732";"0";"240022"
"437";"PV20  ";"1997KW03";"240022";"505";"438";"67";"432";"0";"240454"
"438";"PV20  ";"1997KW04";"240454";"1256";"1199";"57";"874";"-74";"241254"
"439";"PV20  ";"1997JJ00";"238686";"3233";"3045";"188";"2642";"-74";"241254"
"440";"PV20  ";"1998KW01";"241270";"543";"543";"0";"218";"0";"241488"
"441";"PV20  ";"1998KW02";"241488";"667";"646";"21";"368";"0";"241856"
"442";"PV20  ";"1998KW03";"241856";"596";"574";"22";"451";"0";"242307"
"443";"PV20  ";"1998KW04";"242307";"1133";"1044";"89";"805";"-65";"243047"
"444";"PV20  ";"1998JJ00";"241270";"2939";"2807";"132";"1842";"-65";"243047"
"445";"PV20  ";"1999KW01";"243047";"325";"289";"36";"158";"0";"243205"
"446";"PV20  ";"1999KW02";"243205";"434";"425";"9";"62";"0";"243267"
"447";"PV20  ";"1999KW03";"243267";"564";"540";"24";"37";"0";"243304"
"448";"PV20  ";"1999KW04";"243304";"1214";"1114";"100";"755";"-116";"243943"
"449";"PV20  ";"1999JJ00";"243047";"2537";"2368";"169";"1012";"-116";"243943"
"450";"PV20  ";"2000KW01";"243943";"253";"228";"25";"125";"0";"244068"
"451";"PV20  ";"2000KW02";"244068";"350";"345";"5";"238";"0";"244306"
"452";"PV20  ";"2000KW03";"244306";"425";"421";"4";"212";"0";"244518"
"453";"PV20  ";"2000KW04";"244518";"780";"775";"5";"325";"-638";"244205"
"454";"PV20  ";"2000JJ00";"243943";"1808";"1769";"39";"900";"-638";"244205"
"455";"PV20  ";"2001KW01";"244205";"272";"185";"87";"-517";"0";"243688"
"456";"PV20  ";"2001KW02";"243688";"757";"754";"3";"606";"0";"244294"
"457";"PV20  ";"2001KW03";"244294";"533";"533";"0";"415";"0";"244709"
"458";"PV20  ";"2001KW04";"244709";"735";"699";"36";"-310";"482";"244881"
"459";"PV20  ";"2001JJ00";"244205";"2297";"2171";"126";"194";"482";"244881"
"460";"PV20  ";"2002KW01";"244881";"320";"299";"21";"-168";"0";"244713"
"461";"PV20  ";"2002KW02";"244713";"427";"382";"45";"214";"0";"244927"
"462";"PV20  ";"2002KW03";"244927";"722";"715";"7";"619";"0";"245546"
"463";"PV20  ";"2002KW04";"245546";"1185";"1037";"148";"734";"167";"246447"
"464";"PV20  ";"2002JJ00";"244881";"2654";"2433";"221";"1399";"167";"246447"
"465";"PV20  ";"2003KW01";"246447";"435";"386";"49";"146";"0";"246593"
"466";"PV20  ";"2003KW02";"246593";"584";"473";"111";"206";"0";"246799"
"467";"PV20  ";"2003KW03";"246799";"320";"316";"4";"187";"0";"246986"
"468";"PV20  ";"2003KW04";"246986";"671";"618";"53";"349";"-102";"247233"
"469";"PV20  ";"2003JJ00";"246447";"2010";"1793";"217";"888";"-102";"247233"
"470";"PV20  ";"2004KW01";"247233";"153";"149";"4";"29";"0";"247262"
"471";"PV20  ";"2004KW02";"247262";"387";"374";"13";"62";"0";"247324"
"472";"PV20  ";"2004KW03";"247324";"455";"430";"25";"198";"0";"247522"
"473";"PV20  ";"2004KW04";"247522";"610";"587";"23";"55";"-94";"247483"
"474";"PV20  ";"2004JJ00";"247233";"1605";"1540";"65";"344";"-94";"247483"
