"ID";"Gebruiksfunctie";"RegioS";"Perioden";"BeginstandVoorraad_1";"Nieuwbouw_2";"OverigeToevoeging_3";"SaldoVoorraad_7";"EindstandVoorraad_8"
"74202";"A045364";"PV20  ";"2012MM01";"265332";"61";"182";"197";"265529"
"74203";"A045364";"PV20  ";"2012MM02";"265529";"46";"86";"77";"265606"
"74204";"A045364";"PV20  ";"2012MM03";"265606";"11";"284";"249";"265855"
"74205";"A045364";"PV20  ";"2012KW01";"265332";"118";"552";"523";"265855"
"74206";"A045364";"PV20  ";"2012MM04";"265855";"125";"269";"335";"266190"
"74207";"A045364";"PV20  ";"2012MM05";"266190";"85";"238";"15";"266205"
"74208";"A045364";"PV20  ";"2012MM06";"266205";"89";"272";"345";"266550"
"74209";"A045364";"PV20  ";"2012KW02";"265855";"299";"779";"695";"266550"
"74210";"A045364";"PV20  ";"2012MM07";"266550";"36";"100";"-188";"266362"
"74211";"A045364";"PV20  ";"2012MM08";"266362";"56";"83";"51";"266413"
"74212";"A045364";"PV20  ";"2012MM09";"266413";"62";"70";"-51";"266362"
"74213";"A045364";"PV20  ";"2012KW03";"266550";"154";"253";"-188";"266362"
"74214";"A045364";"PV20  ";"2012MM10";"266362";"85";"96";"460";"266822"
"74215";"A045364";"PV20  ";"2012MM11";"266822";"100";"124";"237";"267059"
"74216";"A045364";"PV20  ";"2012MM12";"267059";"47";"122";"407";"267466"
"74217";"A045364";"PV20  ";"2012KW04";"266362";"232";"342";"1104";"267466"
"74218";"A045364";"PV20  ";"2012JJ00";"265332";"803";"1926";"2134";"267466"
"74219";"A045364";"PV20  ";"2013MM01";"267466";"259";"116";"279";"267745"
"74220";"A045364";"PV20  ";"2013MM02";"267745";"36";"112";"70";"267815"
"74221";"A045364";"PV20  ";"2013MM03";"267815";"107";"161";"257";"268072"
"74222";"A045364";"PV20  ";"2013KW01";"267466";"402";"389";"606";"268072"
"74223";"A045364";"PV20  ";"2013MM04";"268072";"140";"60";"-41";"268031"
"74224";"A045364";"PV20  ";"2013MM05";"268031";"315";"208";"500";"268531"
"74225";"A045364";"PV20  ";"2013MM06";"268531";"157";"328";"391";"268922"
"74226";"A045364";"PV20  ";"2013KW02";"268072";"612";"596";"850";"268922"
