,RegioS,Perioden,Woningvoorraad,Toevoeging,Toelichting,PrijsindexVerkoopprijzen_1,OntwikkelingTOVVoorgaandePeriode_2,OntwikkelingTOVEenJaarEerder_3,VerkochteWoningen_4,OntwikkelingTOVVoorgaandePeriode_5,OntwikkelingTOVEenJaarEerder_6,GemiddeldeVerkoopprijs_7,TotaleWaardeVerkoopprijzen_8
0,GM0003,1995.25,5318.0,20,Appingedam,,,,,,,,
1,GM0003,1995.5,5338.0,8,Appingedam,,,,,,,,
2,GM0003,1995.75,5346.0,33,Appingedam,,,,,,,,
3,GM0003,1996.0,5379.0,3,Appingedam,,,,,,,,
4,GM0003,1996.25,5375.0,2,Appingedam,,,,,,,,
5,GM0003,1996.5,5377.0,18,Appingedam,,,,,,,,
6,GM0003,1996.75,5395.0,17,Appingedam,,,,,,,,
7,GM0003,1997.0,5412.0,9,Appingedam,,,,,,,,
8,GM0003,1997.25,5427.0,11,Appingedam,,,,,,,,
9,GM0003,1997.5,5438.0,5,Appingedam,,,,,,,,
10,GM0003,1997.75,5443.0,0,Appingedam,,,,,,,,
11,GM0003,1998.0,5443.0,-21,Appingedam,,,,,,,,
12,GM0003,1998.25,5421.0,11,Appingedam,,,,,,,,
13,GM0003,1998.5,5432.0,0,Appingedam,,,,,,,,
14,GM0003,1998.75,5432.0,4,Appingedam,,,,,,,,
15,GM0003,1999.0,5436.0,62,Appingedam,,,,,,,,
16,GM0003,1999.25,5495.0,6,Appingedam,,,,,,,,
17,GM0003,1999.5,5501.0,17,Appingedam,,,,,,,,
18,GM0003,1999.75,5518.0,11,Appingedam,,,,,,,,
19,GM0003,2000.0,5529.0,46,Appingedam,,,,,,,,
20,GM0003,2000.25,5577.0,7,Appingedam,,,,,,,,
21,GM0003,2000.5,5584.0,10,Appingedam,,,,,,,,
22,GM0003,2000.75,5594.0,-24,Appingedam,,,,,,,,
23,GM0003,2001.0,5570.0,6,Appingedam,,,,,,,,
24,GM0003,2001.25,5561.0,-14,Appingedam,,,,,,,,
25,GM0003,2001.5,5547.0,30,Appingedam,,,,,,,,
26,GM0003,2001.75,5577.0,2,Appingedam,,,,,,,,
27,GM0003,2002.0,5579.0,1,Appingedam,,,,,,,,
28,GM0003,2002.25,5599.0,21,Appingedam,,,,,,,,
29,GM0003,2002.5,5620.0,37,Appingedam,,,,,,,,
30,GM0003,2002.75,5657.0,20,Appingedam,,,,,,,,
31,GM0003,2003.0,5677.0,-48,Appingedam,,,,,,,,
32,GM0003,2003.25,5611.0,4,Appingedam,,,,,,,,
33,GM0003,2003.5,5615.0,6,Appingedam,,,,,,,,
34,GM0003,2003.75,5621.0,-15,Appingedam,,,,,,,,
35,GM0003,2004.0,5606.0,22,Appingedam,,,,,,,,
36,GM0003,2004.25,5628.0,12,Appingedam,,,,,,,,
37,GM0003,2004.5,5640.0,-16,Appingedam,,,,,,,,
38,GM0003,2004.75,5624.0,-27,Appingedam,,,,,,,,
39,GM0003,2005.0,5597.0,2,Appingedam,,,,,,,,
40,GM0003,2005.25,5596.0,-26,Appingedam,,,,,,,,
41,GM0003,2005.5,5570.0,10,Appingedam,,,,,,,,
42,GM0003,2005.75,5580.0,-20,Appingedam,,,,,,,,
43,GM0003,2006.0,5560.0,23,Appingedam,,,,,,,,
44,GM0003,2006.25,5583.0,-,Appingedam,,,,,,,,
45,GM0003,2006.5,5583.0,-80,Appingedam,,,,,,,,
46,GM0003,2006.75,5503.0,15,Appingedam,,,,,,,,
47,GM0003,2007.0,5518.0,-4,Appingedam,,,,,,,,
48,GM0003,2007.25,5514.0,-12,Appingedam,,,,,,,,
49,GM0003,2007.5,5502.0,13,Appingedam,,,,,,,,
50,GM0003,2007.75,5515.0,-24,Appingedam,,,,,,,,
51,GM0003,2008.0,5491.0,12,Appingedam,,,,,,,,
52,GM0003,2008.25,5513.0,-16,Appingedam,,,,,,,,
53,GM0003,2008.5,5497.0,1,Appingedam,,,,,,,,
54,GM0003,2008.75,5498.0,-,Appingedam,,,,,,,,
55,GM0003,2009.0,5498.0,23,Appingedam,,,,,,,,
56,GM0003,2009.25,5521.0,-,Appingedam,,,,,,,,
57,GM0003,2009.5,5521.0,-,Appingedam,,,,,,,,
58,GM0003,2009.75,5521.0,-,Appingedam,,,,,,,,
59,GM0003,2010.0,5521.0,3,Appingedam,,,,,,,,
60,GM0003,2010.25,5524.0,-,Appingedam,,,,,,,,
61,GM0003,2010.5,5524.0,-,Appingedam,,,,,,,,
62,GM0003,2010.75,5524.0,-,Appingedam,,,,,,,,
63,GM0003,2011.0,5524.0,-,Appingedam,,,,,,,,
64,GM0003,2011.25,5524.0,24,Appingedam,,,,,,,,
65,GM0003,2011.5,5548.0,-80,Appingedam,,,,,,,,
66,GM0003,2011.75,5468.0,-,Appingedam,,,,,,,,
67,GM0003,2012.0,5468.0,130,Appingedam,,,,,,,,
68,GM0003,2012.25,5732.0,50,Appingedam,,,,,,,,
69,GM0003,2012.5,5782.0,-32,Appingedam,,,,,,,,
70,GM0003,2012.75,5750.0,2,Appingedam,,,,,,,,
71,GM0003,2013.0,5752.0,33,Appingedam,,,,,,,,
72,GM0003,2013.25,5785.0,-9,Appingedam,,,,,,,,
73,GM0003,2013.5,5776.0,-17,Appingedam,,,,,,,,
74,GM0003,2013.75,5759.0,77,Appingedam,,,,,,,,
75,GM0003,2014.0,5836.0,4,Appingedam,,,,,,,,
76,GM0003,2014.25,5840.0,10,Appingedam,,,,,,,,
77,GM0003,2014.5,5850.0,7,Appingedam,,,,,,,,
78,GM0003,2014.75,5857.0,-7,Appingedam,,,,,,,,
79,GM0003,2015.0,5850.0,0,Appingedam,,,,,,,,
80,GM0003,2015.25,5850.0,0,Appingedam,,,,,,,,
81,GM0003,2015.5,5850.0,28,Appingedam,,,,,,,,
82,GM0003,2015.75,5878.0,2,Appingedam,,,,,,,,
83,GM0003,2016.0,5880.0,1,Appingedam,,,,,,,,
84,GM0003,2016.25,5881.0,13,Appingedam,,,,,,,,
85,GM0003,2016.5,5894.0,-5,Appingedam,,,,,,,,
86,GM0003,2016.75,5889.0,10,Appingedam,,,,,,,,
87,GM0003,2017.0,5899.0,0,Appingedam,,,,,,,,
88,GM0003,2017.25,5899.0,2,Appingedam,,,,,,,,
89,GM0003,2017.5,5901.0,3,Appingedam,,,,,,,,
90,GM0003,2017.75,5904.0,21,Appingedam,,,,,,,,
91,GM0003,2018.0,5925.0,0,Appingedam,,,,,,,,
92,GM0003,2018.25,5925.0,29,Appingedam,,,,,,,,
93,GM0003,2018.5,5954.0,4,Appingedam,,,,,,,,
94,GM0003,2018.75,5958.0,58,Appingedam,,,,,,,,
95,GM0003,2019.0,6016.0,16,Appingedam,,,,,,,,
96,GM0003,2019.25,6032.0,4,Appingedam,,,,,,,,
97,GM0003,2019.5,6036.0,4,Appingedam,,,,,,,,
98,GM0003,2019.75,6040.0,-26,Appingedam,,,,,,,,
99,GM0003,2020.0,6014.0,28,Appingedam,,,,,,,,
100,GM0003,2020.25,6042.0,59,Appingedam,,,,,,,,
101,GM0003,2020.5,6101.0,-6,Appingedam,,,,,,,,
102,GM0003,2020.75,6095.0,-30,Appingedam,,,,,,,,
103,GM0005,1995.25,3836.0,14,Bedum,,,,,,,,
104,GM0005,1995.5,3850.0,12,Bedum,,,,,,,,
105,GM0005,1995.75,3862.0,1,Bedum,,,,,,,,
106,GM0005,1996.0,3863.0,16,Bedum,,,,,,,,
107,GM0005,1996.25,3877.0,-,Bedum,,,,,,,,
